Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 Data Engineering Basics for Everyone,4.7,23,23449,4,IBM,Data Analysis & Statistics,Introductory,English,8301
 Psychedelics and the Mind,4.8,56,10223,10,BerkeleyX,Science,Introductory,English,7965
 Excel for Everyone: Data Analysis Fundamentals,4.6,18,39161,6,UBCx,Data Analysis & Statistics,Intermediate,English,15847
 Circuits and Electronics 3: Applications,4.5,11,21012,7,MITx,Electronics,Intermediate,English,15847
 Upper-Intermediate English: Business and Industry,4.5,49,146020,4,UPValenciaX,Language,Intermediate,English,3276
 Basic Network and Database Security,4.6,26,14402,4,IBM,Computer Science,Introductory,English,12493
 Learning and memory in the brain: a guide for teachers,4.8,23,11687,5,UniversityofCambridge,Education & Teacher Training,Introductory,English,18396
 Análisis estadístico con Excel,,,52735,4,GalileoX,Data Analysis & Statistics,Introductory,Spanish,3270
 Introduction To Music Theory,4.5,37,117508,6,BerkleeX,Humanities,Introductory,English,4947
 Ciencia de Datos: Fundamentos de R,,,7293,4,HarvardX,Data Analysis & Statistics,Introductory,Spanish,9996
 Python for Data Science,3.9,24,327985,10,UCSanDiegoX,Data Analysis & Statistics,Advanced,English,29346
 Improving Global Health: Focusing on Quality and Safety,4.6,94,165505,10,HarvardX,Social Sciences,Intermediate,English,12493
 Introduction to SQL,4.5,33,23807,4,DavidsonX,Data Analysis & Statistics,Introductory,English,20916
 Italian Language and Culture: Intermediate (2023-2024),4.6,55,71279,12,WellesleyX,Language,Intermediate,Italian,4947
 Topics in AP Physics,4.4,17,73860,18,RICEx,Physics,Introductory,English,4108
 AI Chatbots without Programming,4.3,41,56682,2,IBM,Computer Science,Introductory,English,8301
 Información financiera y su análisis,4.7,12,30057,4,TecdeMonterreyX,Economics & Finance,Advanced,Spanish,4947
 Gestión de proyectos de desarrollo,4.7,105,361214,10,IDBx,Business & Management,Introductory,Spanish,4108
 Trading - Fundamentals of Technical Analysis,4.8,10,67888,6,NYIF,Economics & Finance,Introductory,English,16685
 Introduction to Illustrator,,,,4,LCIEducation,Design,Introductory,English,8301
 Data Science: Wrangling,4.4,24,97033,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
 Math for Machine Learning with Python,4.4,11,,6,edX,Math,Intermediate,English,8301
 Liderazgo femenino: potencia tus habilidades e impulsa el cambio,4.7,62,16078,10,IDBx,Communication,Intermediate,Spanish,2432
 Excel avanzado: importación y análisis de datos,4.5,8,88090,8,UPValenciaX,Data Analysis & Statistics,Advanced,Spanish,5785
 Biomedical Equipment: Repairing and Maintaining Biomedical Devices,4.6,50,13921,10,DelftX,Engineering,Introductory,English,4192
 Linear Algebra - Foundations to Frontiers,4.8,12,111467,15,UTAustinX,Computer Science,Intermediate,English,8301
 Agile and Scrum Fundamentals,4.7,67,16786,3,IBM,Computer Science,Introductory,English,8316
 El arte de vender: introducción a las ventas,4.6,10,60680,4,JaverianaX,Economics & Finance,Introductory,Spanish,3780
 Pre-University Physics,4.3,19,28254,5,DelftX,Physics,Introductory,English,4192
 Nutrition and Health: Food Safety,4.3,49,68277,8,WageningenX,Food & Nutrition,Introductory,English,17524
 Mindfulness and Resilience to Stress at Work,4.8,15,56815,4,BerkeleyX,Business & Management,Introductory,English,16716
 Electric Cars: Technology,4.5,55,75957,5,DelftX,Engineering,Intermediate,English,10397
 Apache Spark for Data Engineering and Machine Learning,4.7,27,7843,3,IBM,Computer Science,Intermediate,English,4108
 Procurement and Logistics Management,4.5,97,17469,4,ISCEA,Business & Management,Introductory,English,36808
 GIS Image Analysis in ArcGIS Pro,4.5,50,10482,4,AlaskaX,Engineering,Intermediate,English,15847
 Pre-University Chemistry,4.4,14,5725,5,DelftX,Chemistry,Introductory,English,4192
 GIS Foundations,4.4,50,18477,4,AlaskaX,Engineering,Introductory,English,15847
 Introduction to Pharmacology,3.9,15,28691,8,DoaneX,Medicine,Introductory,English,9978
 Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),4.7,21,197027,16,HarvardX,Chemistry,Introductory,English,20878
" Portfolio Management, Governance, & the PMO",4.4,68,28283,6,UWashingtonX,Business & Management,Introductory,English,20916
 Adobe Illustrator: aprende a crear presentaciones de impacto,,,46112,5,JaverianaX,Design,Introductory,Spanish,1174
 American Government: Constitutional Foundations,4.7,38,65300,4,HarvardX,Social Sciences,Introductory,English,12493
" Fundamentals of Neuroscience, Part 2: Neurons and Networks",4.6,47,116620,6,HarvardX,Biology & Life Sciences,Introductory,English,20916
 Introducción a ChatGPT.¡Impulsa tu productividad al máximo usando inteligencia artificial!,4,18,,2,UPValenciaX,Computer Science,Introductory,Spanish,1593
" Statistics 1 Part 1: Introductory statistics, probability and estimation",4.3,24,11051,5,LSE,Data Analysis & Statistics,Intermediate,English,16702
 Islam Through Its Scriptures,4.9,15,94036,4,HarvardX,Humanities,Introductory,English,12516
 Data Science: Capstone,4.4,54,94684,2,HarvardX,Data Analysis & Statistics,Introductory,English,12493
 Shakespeare's Life and Work,4.6,49,87313,4,HarvardX,Humanities,Introductory,English,12493
 Java Programming: Object-Oriented Design,4.7,13,,5,Codio,Computer Science,Introductory,English,15876
 JavaScript Introduction,4.1,36,217878,5,W3Cx,Computer Science,Introductory,English,20878
 Essential Career Skills for Investment Banking and Finance,4.7,16,32025,2,NYIF,Business & Management,Introductory,English,4108
" ¡Luces, celular y acción! Crea contenidos audiovisuales de impacto",4.5,5,12598,4,JaverianaX,Communication,Introductory,Spanish,3773
 Python for Data Science Project,4.3,42,15991,1,IBM,Data Analysis & Statistics,Intermediate,English,2436
